,extraversion,neuroticism,agreeableness,conscientiousness,interview,openness
J4GQm9j0JZ0.003.mp4,0.5233644859813085,0.5520833333333334,0.6263736263736264,0.6019417475728155,0.5046728971962616,0.4888888888888889
zEyRyTnIw5I.005.mp4,0.3457943925233645,0.37499999999999994,0.4725274725274725,0.5825242718446602,0.4579439252336448,0.3666666666666667
nskJh7v6v1U.004.mp4,0.25233644859813087,0.29166666666666663,0.4065934065934066,0.4854368932038835,0.37383177570093457,0.5111111111111111
6wHQsN5g2RM.000.mp4,0.4579439252336449,0.4895833333333333,0.5054945054945055,0.3980582524271845,0.4579439252336448,0.3777777777777778
dQOeQYWIgm8.000.mp4,0.6074766355140188,0.4895833333333333,0.4065934065934066,0.6213592233009709,0.5700934579439252,0.6222222222222222
eHcRre1YsNA.000.mp4,0.19626168224299068,0.3020833333333333,0.3516483516483516,0.2621359223300971,0.21495327102803735,0.5666666666666667
vZpneJlniAE.005.mp4,0.4205607476635514,0.6354166666666666,0.5714285714285714,0.4660194174757281,0.5327102803738317,0.6333333333333333
oANKg9_grdA.004.mp4,0.4299065420560748,0.5833333333333333,0.6263736263736264,0.5825242718446602,0.5514018691588785,0.5888888888888889
VuadgOz6T7s.000.mp4,0.22429906542056074,0.13541666666666663,0.15384615384615383,0.14563106796116504,0.14018691588785043,0.23333333333333334
7nhJXn9PI0I.001.mp4,0.17757009345794392,0.19791666666666666,0.18681318681318684,0.4174757281553398,0.22429906542056074,0.3555555555555556
tEQEKN07KgQ.001.mp4,0.20560747663551404,0.3020833333333333,0.5384615384615384,0.36893203883495146,0.41121495327102797,0.45555555555555555
I5x9T9ftW18.005.mp4,0.663551401869159,0.6979166666666666,0.7032967032967032,0.6601941747572816,0.7102803738317757,0.6222222222222222
dh6iOU2RtTA.003.mp4,0.6074766355140188,0.6666666666666667,0.5714285714285714,0.6990291262135921,0.6355140186915886,0.7
gsleSGEZHAs.004.mp4,0.37383177570093457,0.5833333333333333,0.6043956043956044,0.6407766990291262,0.644859813084112,0.6333333333333333
vhugKRUnd-c.001.mp4,0.4112149532710281,0.4791666666666667,0.6043956043956044,0.5728155339805825,0.4859813084112149,0.5444444444444444
kn6I8LdQFN0.004.mp4,0.18691588785046728,0.13541666666666663,0.17582417582417584,0.18446601941747573,0.15887850467289716,0.32222222222222224
M5_x5J-H2I0.003.mp4,0.4672897196261683,0.4375,0.4065934065934066,0.4563106796116505,0.35514018691588783,0.6555555555555556
w_ExyXsnw2A.000.mp4,0.4299065420560748,0.35416666666666663,0.5384615384615384,0.6504854368932039,0.5046728971962616,0.5666666666666667
DnTtbAR_Qyw.004.mp4,0.6542056074766356,0.5416666666666666,0.5714285714285714,0.6213592233009709,0.5887850467289719,0.6444444444444444
rIHcq2E67Nc.005.mp4,0.6355140186915887,0.6979166666666666,0.4615384615384615,0.47572815533980584,0.4859813084112149,0.6777777777777777
De4i7-FX9Og.004.mp4,0.663551401869159,0.65625,0.8021978021978021,0.6116504854368932,0.719626168224299,0.711111111111111
cA43Gfcg0QA.000.mp4,0.1588785046728972,0.2395833333333333,0.18681318681318684,0.31067961165048547,0.21495327102803735,0.33333333333333337
pZxqWp0e-Ik.000.mp4,0.24299065420560748,0.20833333333333331,0.5054945054945055,0.3980582524271845,0.27102803738317754,0.43333333333333335
D3AomvNhR1k.003.mp4,0.4953271028037384,0.65625,0.5604395604395604,0.3980582524271845,0.5046728971962616,0.6777777777777777
Fi1ILrwQpSY.003.mp4,0.4672897196261683,0.5729166666666666,0.5714285714285714,0.4077669902912622,0.5700934579439252,0.6
Xfmu-7JuDGg.002.mp4,0.2710280373831776,0.5,0.5714285714285714,0.6019417475728155,0.5420560747663551,0.4666666666666667
YzNbGMNr3z0.001.mp4,0.6261682242990655,0.6875,0.6153846153846153,0.5145631067961165,0.5887850467289719,0.7999999999999999
aFVFvJNnFt0.000.mp4,0.28037383177570097,0.6145833333333333,0.5934065934065933,0.4077669902912622,0.46728971962616817,0.7999999999999999
